95	88600	7000	117000	170000	117400	0	
96	98800	3600	117000	166600	114000	0	
97	95400	17200	113600	163200	110600	0	
98	92000	13800	110200	159800	124200	0	
99	88600	10400	110200	170000	120800	0	
100	85200	7000	110200	180200	117400	0	
101	81800	3600	110200	176800	127600	0	
102	78400	200	110000	187200	124200	0	
103	81500	-800	109900	186200	123200	0	
104	89900	-800	107100	183400	120400	0	
105	86500	-800	103700	180000	130600	0	
106	83700	-800	100900	177200	139000	0	
107	83733	-800	100800	177233	139033	0	
108	82733	-800	100800	176233	141034	0	
109	86133	-800	97400	179633	137634	0	
110	88333	-800	97200	178633	136634	0	
111	90433	-800	97100	177633	135634	0	
112	87633	-800	99900	180433	132834	0	
113	89633	-800	99900	179433	131834	0	
114	91833	-800	99700	178433	130834	0	
115	90833	-800	99600	177433	132934	0	
116	99233	-800	96800	174633	130134	0	
117	107633	-800	94000	171833	127334	0	
118	106633	-800	93800	170833	129534	0	
119	103833	-800	102200	168033	126734	0	
120	101033	-800	110600	165233	123934	0	
121	100033	-800	110600	164233	125934	0	
122	102233	-800	110400	163233	124934	0	
123	99433	-800	118800	160433	122134	0	
124	102233	-800	121600	157633	119334	0	
125	112433	-800	118200	154233	115934	0	
126	109633	-800	115400	162633	113134	0	
127	106833	-800	112600	171033	110334	0	
128	105833	-800	112600	170033	112334	0	
129	107833	-800	112600	169033	111334	0	
130	106833	-800	112400	171233	110334	0	
131	117033	-800	109000	167833	106934	0	
132	114233	-800	106200	176233	104134	0	
133	124433	-800	102800	172833	100734	0	
134	123433	-800	102600	171833	102934	0	
135	120633	-800	99800	180233	100134	0	
136	119633	-800	99800	179233	102134	0	
137	116833	-800	108200	176433	99334	0	
138	119033	-800	108000	175433	98334	0	
139	129233	-800	104600	172033	94934	0	
140	137633	-800	101800	169233	92134	0	
141	134833	-800	110200	166433	89334	0	
142	133833	-800	110000	168633	88334	0	
143	131033	-800	118400	165833	85534	0	
144	141233	-800	115000	162433	82134	0	
145	143233	-800	115000	161433	81134	0	
146	151633	-800	112200	158633	78334	0	
147	153733	-800	112100	157633	77334	0	
148	155733	-800	112100	156633	76334	0	
149	164133	-800	109300	153833	73534	0	
150	163133	-800	109100	156033	72534	0	
151	165233	-800	109000	155033	71534	0	
152	167233	-800	109000	154033	70534	0	
153	163833	-800	105600	150633	80734	0	
154	161033	-800	108400	147833	83534	0	
155	158233	-800	116800	145033	80734	0	
156	160233	-800	116800	144033	79734	0	
157	162233	-800	116800	143033	78734	0	
158	159433	-800	125200	140233	75934	0	
159	156633	-800	128000	143033	73134	0	
160	165033	-800	125200	140233	70334	0	
161	164033	-800	125200	139233	72334	0	
162	163033	-800	125000	138233	74534	0	
163	159633	-800	121600	148433	71134	0	
164	158633	-800	121600	147433	73134	0	
165	155833	-800	118800	155833	70334	0	
166	158033	-800	118600	154833	69334	0	
167	166433	-800	115800	152033	66534	0	
168	169233	-800	113000	154833	63734	0	
169	168233	-800	113000	156833	62734	0	
170	167233	-800	112800	155833	64934	0	
171	166233	-800	112700	157933	63934	0	
172	165233	-800	112700	156933	65934	0	
173	162433	-800	121100	154133	63134	0	
174	159633	-800	118300	162533	60334	0	
175	161733	-800	118200	161533	59334	0	
176	170133	-800	115400	158733	56534	0	
177	170133	-800	115400	158733	56534	0	
178	167333	-800	123800	155933	53734	0	
179	164533	-800	121000	153133	62134	0	
180	163533	-800	121000	152133	64134	0	
181	160733	-800	118200	160533	61334	0	
182	159733	-800	118000	162733	60334	0	
183	168133	-800	115200	159933	57534	0	
184	165333	-800	123600	157133	54734	0	
185	167333	-800	123600	156133	53734	0	
186	166333	-800	123400	155133	55934	0	
187	162933	-800	120000	165333	52534	0	
188	159533	-800	116600	175533	49134	0	
189	160033	-800	116600	174533	49634	0	
190	156633	-800	126800	171133	46234	0	
191	153833	-800	129600	168333	49034	0	
192	150433	-800	126200	178533	45634	0	
193	152433	-800	126200	177533	44634	0	
194	160833	-800	123400	174733	41834	0	
195	162933	-800	123300	173733	40834	0	
196	161933	-800	123300	175733	39834	0	
197	160933	-800	123300	177733	38834	0	
198	158133	-800	120500	174933	47234	0	
199	155333	-800	128900	172133	44434	0	
200	152533	-800	137300	169333	41634	0	
201	149733	-800	134500	177733	38834	0	
202	146933	-800	131700	186133	36034	0	
203	144133	-800	128900	183333	44434	0	
204	141333	-800	137300	180533	41634	0	
205	143333	-800	137300	179533	40634	0	
206	140533	-800	140100	182333	37834	0	
207	142633	-800	140000	181333	36834	0	
208	152833	-800	136600	177933	33434	0	
209	151833	-800	136600	178433	33934	0	
210	148433	-800	133200	175033	44134	0	
211	145633	-800	130400	183433	41334	0	
212	155833	-800	127000	180033	37934	0	
213	152433	-800	123600	176633	48134	0	
214	151433	-800	123400	178833	47134	0	
215	148633	-800	131800	176033	44334	0	
216	145233	-800	128400	186233	40934	0	
217	141833	-800	138600	182833	37534	0	
218	138433	-800	148800	179433	34134	0	
219	135033	-800	145400	189633	30734	0	
220	134033	-800	145400	188633	32734	0	
221	136033	-800	145400	187633	31734	0	
222	132633	-800	142000	184233	41934	0	
223	129833	-800	139200	192633	39134	0	
224	131833	-800	139200	191633	38134	0	
225	140233	-800	136400	188833	35334	0	
226	136833	-800	133000	185433	45534	0	
227	135833	-800	132900	187533	44534	0	
228	144233	-800	130100	184733	41734	0	
229	147633	-800	133500	181333	38334	0	
230	146633	-800	133300	183533	37334	0	
231	143233	-800	143500	180133	33934	0	
232	142233	-800	143500	179133	35934	0	
233	141233	-800	143500	178133	37934	0	
234	138433	-800	151900	175333	35134	0	
235	140533	-800	151800	174333	34134	0	
236	137733	-800	149000	182733	31334	0	
237	134933	-800	146200	179933	39734	0	
238	132133	-800	143400	177133	48134	0	
239	129333	-800	151800	174333	45334	0	
240	128333	-800	151800	173333	47334	0	
241	138533	-800	148400	169933	43934	0	
242	141333	-800	151200	167133	41134	0	
243	149733	-800	148400	164333	38334	0	
244	148733	-800	148400	163333	40334	0	
245	145933	-800	145600	160533	48734	0	
246	144933	-800	145400	162733	47734	0	
247	143933	-800	145300	161733	49834	0	
248	142933	-800	145300	160733	51834	0	
249	151333	-800	142500	157933	49034	0	
250	148533	-800	139700	166333	46234	0	
251	145733	-800	136900	163533	54634	0	
252	154133	-800	134100	160733	51834	0	
253	154633	-800	134100	161233	50834	0	
254	151833	-800	131300	169633	48034	0	
255	160233	-800	128500	166833	45234	0	
256	157433	-800	136900	164033	42434	0	
257	156433	-800	136900	163033	44434	0	
258	155433	-800	136700	165233	43434	0	
259	152633	-800	139500	168033	40634	0	
260	151633	-800	139500	170033	39634	0	
261	150633	-800	139500	169033	41634	0	
262	147833	-800	136700	177433	38834	0	
263	145033	-800	133900	185833	36034	0	
264	142233	-800	131100	194233	33234	0	
265	141233	-800	131100	193233	35234	0	
266	138433	-800	139500	190433	32434	0	
267	135033	-800	136100	200633	29034	0	
268	132233	-800	133300	209033	26234	0	
269	131233	-800	133300	208033	28234	0	
270	127833	-800	143500	204633	24834	0	
271	124433	-800	153700	201233	21434	0	
272	121633	-800	150900	209633	18634	0	
273	130033	-800	148100	206833	15834	0	
274	129033	-800	147900	205833	18034	0	
275	125633	-800	158100	202433	14634	0	
276	124633	-800	158100	201433	16634	0	
277	123633	-800	158100	203433	15634	0	
278	125833	-800	157900	202433	14634	0	
279	124833	-800	157800	204533	13634	0	
280	123833	-800	157800	206533	12634	0	
281	121033	-800	155000	203733	21034	0	
282	120033	-800	154800	205933	20034	0	
283	122133	-800	154700	204933	19034	0	
284	119333	-800	151900	213333	16234	0	
285	127733	-800	149100	210533	13434	0	
286	126733	-800	148900	212733	12434	0	
287	125733	-800	148800	214833	11434	0	
288	124733	-800	148800	213833	13434	0	
289	133133	-800	146000	211033	10634	0	
290	132133	-800	145800	210033	12834	0	
291	131133	-800	145700	209033	14934	0	
292	133933	-800	142900	211833	12134	0	
293	133933	-800	142900	211833	12134	0	
294	130533	-800	153100	208433	8734	0	
295	127133	-800	163300	205033	5334	0	
296	124333	-800	160500	213433	2534	0	
297	124333	-800	160500	213433	2534	0	
298	123333	-800	160300	215633	1534	0	
299	121733	-800	158700	214033	6334	0	
300	118933	-800	167100	211233	3534	0	
301	120933	-800	167100	210233	2534	0	
302	118333	-800	174900	207633	-66	0	
303	117533	-800	176500	206833	-66	0	
304	119133	-800	175700	206033	-66	0	
305	118333	-800	177300	205233	-66	0	
306	119933	-800	176500	204433	-66	0	
307	119133	-800	175700	206033	-66	0	
308	118333	-800	174900	207633	-66	0	
309	118133	-800	174800	207933	-66	0	
310	118333	-800	174800	207733	-66	0	
311	117533	-800	176400	206933	-66	0	
312	117333	-800	176300	207233	-66	0	
313	117133	-800	176300	207433	-66	0	
314	116333	-800	175500	209033	-66	0	
315	116133	-800	175400	209333	-66	0	
316	116333	-800	175400	209133	-66	0	
317	115533	-800	177000	208333	-66	0	
318	117133	-800	176200	207533	-66	0	
319	118733	-800	175400	206733	-66	0	
320	117933	-800	174600	208333	-66	0	
321	117133	-800	173800	209933	-66	0	
322	116333	-800	173000	211533	-66	0	
323	118333	-800	172000	210533	-66	0	
324	117333	-800	171000	212533	-66	0	
325	117133	-800	171000	212733	-66	0	
326	118733	-800	170200	211933	-66	0	
327	117933	-800	171800	211133	-66	0	
328	118133	-800	171800	210933	-66	0	
329	117333	-800	172200	211333	-66	0	
330	117633	-800	172100	211133	-66	0	
331	119233	-800	171300	210333	-66	0	
332	118433	-800	170500	211933	-66	0	
333	117433	-800	172500	210933	-66	0	
334	116633	-800	174100	210133	-66	0	
335	115833	-800	173300	211733	-66	0	
336	115633	-800	173200	212033	-66	0	
337	115833	-800	173200	211833	-66	0	
338	117433	-800	172400	211033	-66	0	
339	117733	-800	172300	210833	-66	0	
340	117933	-800	172300	210633	-66	0	
341	118333	-800	172700	209833	-66	0	
342	118633	-800	172600	209633	-66	0	
343	118433	-800	172600	209833	-66	0	
344	120433	-800	171600	208833	-66	0	
345	120233	-800	171500	209133	-66	0	
346	119233	-800	170500	211133	-66	0	
347	118433	-800	172100	210333	-66	0	
348	117633	-800	171300	211933	-66	0	
349	117433	-800	171300	212133	-66	0	
350	119033	-800	170500	211333	-66	0	
351	118233	-800	169700	212933	-66	0	
352	117433	-800	171300	212133	-66	0	
353	116433	-800	170300	214133	-66	0	
354	115633	-800	171900	213333	-66	0	
355	114833	-800	173500	212533	-66	0	
356	116433	-800	172700	211733	-66	0	
357	116233	-800	172600	212033	-66	0	
358	118233	-800	171600	211033	-66	0	
359	117433	-800	173200	210233	-66	0	
360	116633	-800	172400	211833	-66	0	
361	115833	-800	171600	213433	-66	0	
362	117433	-800	170800	212633	-66	0	
363	117483	-800	170700	212683	-66	0	
364	117683	-800	170700	212483	-66	0	
365	116883	-800	172300	211683	-66	0	
366	117283	-800	171500	212083	-66	0	
367	119283	-800	170500	211083	-66	0	
368	118283	-800	169500	213083	-66	0	
369	117283	-800	171500	212083	-66	0	
370	116483	-800	173100	211283	-66	0	
371	115483	-800	175100	210283	-66	0	
372	117483	-800	174100	209283	-66	0	
373	116483	-800	176100	208283	-66	0	
